species	family	plumage_qual	mass1 (unless otherwise noted)	nest_cat	time_nest	lat_b 16	absolute_lat_b	lat_cat	adult_barb	juvenile_barb	nestling_diet 4 (unless otherwise noted)	breeding_temp 19	migratein_juvplumage 23	Nstl_DPR 20	adult_sex_numb 21	nestling_sex_numb 22	Museum_numbers 23
Agelaius_phoeniceus	Icteridae	0.711513583	52.55	cup4	12.5 4	41.40357792	41.40357792	high	24.6587	17.545	insects	14.92129107	no	0.035	"6M, 6F"	"5M, 6F, 1?"	"CUMV 17549, 34508, 35004, 33933, 17533, 34933, 17514, 34986, 35479, 11486, 50141, 34975, 30154, 23924, 36338, 35013, 17542, 34979, 30151, 21572, 34973, 35015, 34987, 36482"
Arremon_taciturnus	Emberizidae	0.798163673	24.8	noncavity5	NA	-5.904614897	5.904614897	low	18.1667	14.5	insects 5	26.01	aresident	NA	"1M, 1F"	"1M, 1F"	"AMNH 32149, 128180, 32191, 32157"
Atlapetes_semirufus	Emberizidae	0.608695652	31 2	cup2	10.5 2	8.559668088	8.559668088	low	23	14	NA	21.02	aresident	0.0676	"1M, 1F"	1?	"AMNH 188531, 188533, 154543"
Baeolophus_bicolor	Paridae	0.900733764	21.6	cavity4	15.5 4	36.52138859	36.52138859	high	16.1905	14.58333	insects	15.74	aresident	NA	"1M, 1F"	2?	"CUMV 12408, 12405, 37013, 42784"
Baeolophus_inornatus	Paridae	0.842105263	17.5	cavity4	18.5 4	36.39401814	36.39401814	high	19	16	NA	15.79	aresident	0.0173	"1M, 1F"	2F	"AMNH 757231, 373470, 89974, 373476"
Basileuterus_coronatus	Parulidae	0.5613434	16.1	noncavity2	NA	-3.922187789	3.922187789	low	23.1587	13	NA	16.28	aresident	NA	"1M, 1F"	"1M, 1F"	"CUMV 16972, 16973; LSU 106881, 106893"
Basileuterus_culicivorus	Parulidae	0.668788957	10.5	noncavity5	NA	-8.738491456	8.738491456	low	22.4286	15	insects_fruit_seeds 5	22.5	aresident	NA	"1M, 1F"	2?	"CUMV 16996, 9681; AMNH 85674, 85676"
Basileuterus_rufifrons	Parulidae	0.554054657	10.9	noncavity5	10.5 9	15.87438204	15.87438204	low	24.6667	13.6667	insects 5	23.12	aresident	NA	"1M, 1F"	"1M, 1?"	"CUMV 12310, 36331; AMNH 856944, 85695"
Basileuterus_tristriatus	Parulidae	0.563759146	12.7	noncavity2	10.5 10	-0.152865512	0.152865512	low	24.8333	14	NA	18.41	aresident	0.0642	"1M, 1F"	1M	"CUMV 16982, 29157, LSU 98955"
Bombycilla_cedrorum	Bombycillidae	0.882351644	31.85	cup4	15.5 4	46.97705486	46.97705486	high	22.6667	20	insects	15.56079887	NA	0.00982	"1M, 1F"	"1M, 1F"	"CUMV 10378, 14418, 14429; AMNH 378348"
Brachypteryx_montana	Muscicapidae	0.592592593	21.6	noncavity2	18.286 11	17.31829243	17.31829243	low	27	16	NA	NA	aresident	0.0463	"1M, 1F"	2?	"AMNH 590671, 305990, 590693, 590678"
Campephilus_rubricollis	Picidae	0.778082275	214	cavity5	NA	-4.386267116	4.386267116	low	16.4935	12.8333	insects_seeds 5	22.81	aresident	NA	"1M, 1F"	"1F, 1F?"	"CUMV 6389, 6388; AMNH 270896; LSU 170797 "
Camptostoma_imberbe	Tyrannidae	0.648148148	7.4	noncavity5	12 2	20.39346623	20.39346623	low	27	17.5	NA	24.08	yes	NA	"1M, 1F"	1F	"CUMV 36652, 10344; LSU 13471"
Cardinalis_cardinalis	Cardinalidae	0.716459198	44.65	cup4	9.5 4	32.75790761	32.75790761	high	20.08333333	14.38888889	insects	19.56	aresident	0.04872	"1M, 1F"	2M	"CUMV 34600, 11772, 34400, 55357"
Catharus_aurantiirostris	Turdidae	0.695652174	27	cup5	15 2	14.58559399	14.58559399	low	23	16	insects 17	20.48	no	0.045	"1M, 1F"	"1M, 1?"	"AMNH 327939, 503845, 391524, 503847"
Catharus_guttatus	Turdidae	0.666666667	31	cup4	12 4	49.66164167	49.66164167	high	24	16	insects	12.81093639	no	0.0474	"1M, 1F"	2F	"AMNH 376639, 376641, 376656, 376392"
Catharus_minimus	Turdidae	0.727410712	32.8	cup4	12 4	60.49875641	60.49875641	high	23.9815	17.4444	NA	10.09518577	no	NA	"1M, 1F"	1?	"CUMV 14237, 30604, 14241"
