band	rfid	year	age	soc_un	soc_box	soc_ubox	soc_uby	treat1	treat2	laid_un	laid_box	laid_ubox	laid_uby	lay_clutch	gen_dad_uby	soc_ci	gen_ci	hatch_doy	sex	in_xfost_exp	raised_nest	parents_knwn	soc_mom	gen_mom	soc_dad_raised	soc_dad_laid	gen_dad	breast_den	back_den	br1_mm	br1_den	br2_mm	br2_den	back1_len	back1_den	back2_len	back2_den	d12_mass	d12_wing	d12_head	d12_bgluc	d12_sgluc	d12_dgluc	d15_acgluc	d12_lat	d12_time_mins	d15_mass	d15_time_mins	d12_base	d12_stress	d12_dex	d15_acth	fate	first_read	last_read	tot_reads	fled_doy	fled_age	note	mass1	hbill1	wing1	ad_age	bcort1	scort1	dcort1	bgluc1	sgluc1	dgluc1
156181146	04198EA772	2018	nestling	1	12	1_12	1_12_2018	Control	Control	1	12	1_12	1_12_2018	6	1_32_2018	138	132	158	female	yes	home	yes	272107794	272107794	272107345	272107345	88004790	22.61	20.23	4.3	23.46	4.1	21.75	4.3	18.67	3.2	21.79	16.5	45	24.8					87	767	18.5	561	3.7	51.2	22.6	35.1	Died	15060000	15403567	7695													
156181147	04198E70B9	2018	nestling	1	12	1_12	1_12_2018	Control	Control	1	12	1_12	1_12_2018	6	1_32_2018	138	132	158	male	yes	home	yes	272107794	272107794	272107345	272107345	88004790	18.56	19.71	7.0	15.67	4.2	21.45	4.1	19.45	4.0	19.97	17.5	44	25.2					144	767	17.5	561	0.8	59.7	11.1	40.2	Died	15064578	15437314	19014													
156181149	04198E498D	2018	nestling	1	12	1_12	1_12_2018	Control	Control	1	12	1_12	1_12_2018	6	1_12_2018	138	138	158	male	yes	home	yes	272107794	272107794	272107345	272107345	272107345	21.84	18.16	5.3	20.77	5.7	22.91	5.0	18.16			20.5	49.5	26					150	767	20.5	561	2.6	47.5	7.0	21.0	Died	15064097	15433096	17017													
272106961	04198E5680	2018	nestling	1	75	1_75	1_75_2018	Control	Tape	1	104	1_104	1_104_2018	4		138		157	female	yes	cross	no	272107699	272107790	272107825	unk		20.76	19.65	3.9	17.86	3.8	23.66	3.7	18.78	3.9	20.51	13	40	25.3					68	787	13.0	570	3.6	4.1	2.1	6.8	Died																
272107271	04198E1005	2018	nestling	1	91	1_91	1_91_2018	Control	Predator	1	81	1_81	1_81_2018	5	1_81_2018	133	133	152	male	yes	cross	yes	272107809	232146953	272107634	262125966	262125966	19.14	24.43	5.8	19.11	4.7	19.18	4.1	24.43			18.3	49	24.2					81	725	14.5	603	1.3	29.4	8.8	6.3	Died																
272107277	04198E8A7D	2018	nestling	1	81	1_81	1_81_2018	Dull	Control	1	81	1_81	1_81_2018	5	1_81_2018	133	133	152	female	yes	home	yes	232146953	232146953	262125966	262125966	262125966	18.55	21.94	6.7	18.03	6.3	19.08	3.3	21.16	4.4	22.72	19.8	54	25.7					179	779	15.5	549	6.7	47.2	9.2	7.2	Died	14570095	14570113	8													
272107831	04198E1479	2018	nestling	1	85	1_85	1_85_2018	Control	Control	1	17	1_17	1_17_2018	5	1_17_2018	138	138	155	female	yes	cross	yes	272106711	272107153	272107529	156181128	156181128	18.37	21.11	5.5	16.45	4.9	20.30	5.2	25.14	6.4	17.08	20.5	53	24.7					110	777	14.5	588	2.5	20.5	11.8	14.2	Died																
272107833	04198E5434	2018	nestling	1	85	1_85	1_85_2018	Control	Control	1	17	1_17	1_17_2018	5	1_32_2018	138	132	155	male	yes	cross	yes	272106711	272107153	272107529	156181128	88004790	22.18	16.82	4.9	20.33	4.2	24.03	4.1	17.23	4.3	16.40	23	55	27.7					99	777	17.3	588	5.9	25.3	11.7	23.6	Died	14734975	14913209	1158													
156181130	04198E5AEB	2018	nestling	2	14	2_14	2_14_2018	Dull	Predator	2	14	2_14	2_14_2018	5	Unknown	133		151	male	yes	home	yes	272106905	272106905	272107762	272107762	272107762	20.92	18.10	3.7	21.67	4.5	20.17			2.8	18.10	21.8	43	24.4					112	881	18.5		2.8	36.3	15.0	44.9	Died	14575109	14660662	1770													
156181136	04198E4A93	2018	nestling	2	2	2_2	2_2_2018	Control	Control	2	2	2_2	2_2_2018	5		134		152	female	yes	home	no	272107807	272107807	272107817	272107817		18.11	22.82	3.8	18.43	4.5	17.79			3.1	22.82	17	40	25					152	736	13.5	555	0.9	34.9	3.6	37.3	Died	14486828	15281021	41715													
