uby	female	male	ci_doy	clutch	hatch_doy	max_brood	d6_brood	d6_mass	num_fled	treat_1	treat_2	full_treatment
1_104_2018	272107790		138	4					0	Dull	Control	Dull_Control
1_105_2019	281128701	262125449	135	5	154	5	5	65	4	Predator	Dull	Predator_Dull
1_12_2018	272107794	272107345	138	6	158	6	6	71	1	Control	Control	Control_Control
1_121_2018	272107750		134	6	153	6	3	12.7	2	Dull	Predator	Dull_Predator
1_134_2019	278172232		142	6					0	Predator	Dull	Predator_Dull
1_17_2018	272107153	156181128	138	5	154	5	5	50	0	Control	Predator	Control_Predator
1_19_2019	278172231	169139088	161	3	178	3	3	33				
1_32_2018	272107802	88004790	132	5	150	5	5	44	4	Dull	Tape	Dull_Tape
1_421_2018	272107321	262125987	132	7	153	5			5			
1_47_2019	278172224	272106628	135	5	155	5	5	66	0	Control	Control	Control_Control
1_48_2018	272107814	272106628	146	5	165	5	4	48	3	Dull	Tape	Dull_Tape
1_58_2019	281128704	281128653	143	4	161	4	4	48	2	Predator	Control	Predator_Control
1_75_2018	272107699	272107825	138	6	157	6	6	64	4	Control	Tape	Control_Tape
1_79_2019	281128654	278171397	156	5	174	5	5	70	5			
1_81_2018	232146953	262125966	133	5	152	5	5	45	4	Dull	Control	Dull_Control
1_81_2019	272107809	262125966	135	6	155	6	5	60	5	Control	Control	Control_Control
1_85_2018	272106711	272107529	136	5	155	4	4	50	2	Control	Control	Control_Control
1_86_2019	278172233	272107529	143	5	161	4	4	45	3	Predator	Control	Predator_Control
1_91_2018	272107809	272107634	133	5	152	5	5	46	4	Control	Predator	Control_Predator
1_92_2018			157	4	174	4	4					
2_101_2019	278172147	278172199	131	6	152	5	5	52	3	Predator	Dull	Predator_Dull
2_102_2018	272107811	272106915	136	6	154	5	5	40.6	4	Control	Control	Control_Control
2_103_2018	272106908	272106664	133	6	151	6	6	35	4	Control	Tape	Control_Tape
2_103_2019	272107786	272106664	129	6	149	6	6	54	5	Control	Control	Control_Control
