feather_id	observer	density
NYF750	bella	35.11
NYF752	bella	27.69
NYF754	bella	28.91
NYF756	bella	24.62
NYF758	bella	30.27
NYF760	bella	18.51
NYF762	bella	24.93
NYF764	bella	22.89
NYF776	bella	25.16
NYF768	bella	30.33
NYF770	bella	28.25
NYF772	bella	20.18
NYF774	bella	26.84
NYF778	bella	34.13
NYF780	bella	29.3
NYF782	bella	33.53
NYF784	bella	23.71
NYF786	bella	24.57
NYF788	bella	25.64
NYF790	bella	38.73
NYF750	paige	35.67
NYF752	paige	25.48
NYF754	paige	28.67
NYF756	paige	24.24
NYF758	paige	30.41
NYF760	paige	18
NYF762	paige	24.72
NYF764	paige	22.13
NYF776	paige	26.77
NYF768	paige	28.18
NYF770	paige	27.12
NYF772	paige	20.3
NYF774	paige	26.79
NYF778	paige	33.14
NYF780	paige	29.03
NYF782	paige	32.68
NYF784	paige	23.62
NYF786	paige	26.62
NYF788	paige	26.47
NYF790	paige	36.86
NYF750	raquel	35.55
NYF752	raquel	25.51
NYF754	raquel	29.62
NYF756	raquel	24.52
NYF758	raquel	30.34
NYF760	raquel	18.24
NYF762	raquel	24.43
NYF764	raquel	21.99
NYF776	raquel	28
NYF768	raquel	29.99
NYF770	raquel	28.23
NYF772	raquel	18.84
NYF774	raquel	27.16
NYF778	raquel	33.76
NYF780	raquel	28.32
NYF782	raquel	35.34
NYF784	raquel	25.95
NYF786	raquel	25.41
NYF788	raquel	25.02
NYF790	raquel	35.8
NYF750	sungmin	33.79
NYF752	sungmin	24.84
NYF754	sungmin	27.65
NYF756	sungmin	23.12
NYF758	sungmin	32.11
NYF760	sungmin	17.98
NYF762	sungmin	25.36
NYF764	sungmin	22.14
NYF776	sungmin	23.97
NYF768	sungmin	30.2
NYF770	sungmin	25.85
NYF772	sungmin	18.51
NYF774	sungmin	25.45
NYF778	sungmin	32.28
NYF780	sungmin	29.37
NYF782	sungmin	31.08
NYF784	sungmin	23.63
NYF786	sungmin	23.61
NYF788	sungmin	25.78
NYF790	sungmin	35.46
NYF750	kai	33.89
NYF752	kai	26.21
NYF754	kai	29.72
NYF756	kai	23.77
NYF758	kai	32.06
NYF760	kai	21.86
NYF762	kai	24.19
NYF764	kai	22.22
NYF776	kai	26.09
NYF768	kai	29.88
NYF770	kai	27.7
NYF772	kai	19.19
NYF774	kai	25.55
NYF778	kai	33.44
NYF780	kai	30.28
NYF782	kai	32.71
NYF784	kai	24.7
NYF786	kai	27.18
NYF788	kai	25.94
NYF790	kai	36.37
NYF317	bri	17.35
NYF318	bri	12.91
NYF319	bri	13.7
NYF320	bri	20.77
NYF321	bri	21.73
NYF322	bri	17.95
NYF323	bri	20.24
NYF324	bri	21.88
NYF325	bri	22.49
NYF326	bri	13.17
NYF327	bri	13.77
NYF327r	bri	12.51
NYF328	bri	19.94
NYF329	bri	19.63
NYF330	bri	14.57
NYF331r	bri	16.09
NYF331	bri	17.73
NYF332	bri	18.65
NYF317	conor	16.89
NYF318	conor	14.75
NYF319	conor	14.36
NYF320	conor	19.76
NYF321	conor	19.28
NYF322	conor	21.96
NYF323	conor	19.86
NYF324	conor	20.75
NYF325	conor	18.37
NYF326	conor	14.08
NYF327	conor	17.51
NYF328	conor	17.06
NYF329	conor	18.96
NYF331	conor	14.98
NYF332	conor	17.4
NYF317	alyssa	19.78
NYF318	alyssa	11.4
NYF319	alyssa	13.48
NYF320	alyssa	18.08
NYF321	alyssa	19.54
NYF322	alyssa	16
NYF323	alyssa	20.03
NYF324	alyssa	22.94
NYF325	alyssa	19.58
NYF326	alyssa	15.92
NYF327	alyssa	18.79
NYF328	alyssa	20.15
NYF329	alyssa	17.05
NYF330	alyssa	13.86
NYF331	alyssa	18.48
NYF332	alyssa	16.56
