daycombo	unitbox	uby	doy	year	offset	limit	f_feed	m_feed	f_reads	m_reads
1_105-155	1_105	1_105_2019	155	2019	1	136.5	153		444	
1_105-156	1_105	1_105_2019	156	2019	2	136.5	148		451	
1_105-157	1_105	1_105_2019	157	2019	3	136.5	149		339	
1_105-158	1_105	1_105_2019	158	2019	4	55.5	199		476	
1_105-159	1_105	1_105_2019	159	2019	5	55.5	188		718	
1_105-160	1_105	1_105_2019	160	2019	6	55.5	137		453	
1_105-161	1_105	1_105_2019	161	2019	7	36.5	116		271	
1_105-162	1_105	1_105_2019	162	2019	8	36.5	186		368	
1_105-163	1_105	1_105_2019	163	2019	9	36.5	170		467	
1_105-164	1_105	1_105_2019	164	2019	10	20	52		141	
1_105-165	1_105	1_105_2019	165	2019	11	20	159		387	
1_105-166	1_105	1_105_2019	166	2019	12	20	155		401	
1_105-167	1_105	1_105_2019	167	2019	13	11	106		347	
1_105-168	1_105	1_105_2019	168	2019	14	11	252		710	
1_105-169	1_105	1_105_2019	169	2019	15	11	226		723	
1_105-170	1_105	1_105_2019	170	2019	16	25.5	201		757	
1_105-171	1_105	1_105_2019	171	2019	17	25.5	154		501	
1_105-172	1_105	1_105_2019	172	2019	18	25.5	222		640	
1_105-173	1_105	1_105_2019	173	2019	19				330	
1_47-156	1_47	1_47_2019	156	2019	1	136.5	162	63	1810	2142
1_47-157	1_47	1_47_2019	157	2019	2	136.5	159	85	965	2438
1_47-158	1_47	1_47_2019	158	2019	3	136.5	161	124	1626	1290
1_47-159	1_47	1_47_2019	159	2019	4	55.5	231	152	2496	1099
1_47-160	1_47	1_47_2019	160	2019	5	55.5	185	174	1208	696
1_47-161	1_47	1_47_2019	161	2019	6	55.5	29	101	78	277
1_47-162	1_47	1_47_2019	162	2019	7	36.5	126	179	534	493
1_47-163	1_47	1_47_2019	163	2019	8	36.5	197	209	610	657
1_47-164	1_47	1_47_2019	164	2019	9	36.5	58	68	197	214
1_47-165	1_47	1_47_2019	165	2019	10	20	124	110	430	389
1_47-166	1_47	1_47_2019	166	2019	11	20	179	208	420	615
1_47-167	1_47	1_47_2019	167	2019	12	20	27	68	60	241
1_47-168	1_47	1_47_2019	168	2019	13	11		218		805
1_47-169	1_47	1_47_2019	169	2019	14	11		131		635
1_47-170	1_47	1_47_2019	170	2019	15	11		119		784
1_47-171	1_47	1_47_2019	171	2019	16	25.5		47		228
1_47-172	1_47	1_47_2019	172	2019	17	25.5		10		184
1_58-162	1_58	1_58_2019	162	2019	1	136.5	142		414	
1_58-163	1_58	1_58_2019	163	2019	2	136.5	143		506	
1_58-164	1_58	1_58_2019	164	2019	3	136.5	81		173	
1_58-165	1_58	1_58_2019	165	2019	4	55.5	150		197	
1_58-166	1_58	1_58_2019	166	2019	5	55.5	198		291	
1_58-167	1_58	1_58_2019	167	2019	6	55.5	118		310	
1_58-168	1_58	1_58_2019	168	2019	7	36.5	168	107	511	248
1_58-169	1_58	1_58_2019	169	2019	8	36.5	175	112	448	241
1_58-170	1_58	1_58_2019	170	2019	9	36.5	221	103	663	249
1_58-171	1_58	1_58_2019	171	2019	10	20	135	77	468	146
1_58-172	1_58	1_58_2019	172	2019	11	20	191	118	554	226
1_58-173	1_58	1_58_2019	173	2019	12	20	199	153	799	365
1_58-174	1_58	1_58_2019	174	2019	13	11	158	135	516	251
1_58-175	1_58	1_58_2019	175	2019	14	11	135	102	437	186
1_58-176	1_58	1_58_2019	176	2019	15	11	94	84	562	160
1_58-177	1_58	1_58_2019	177	2019	16	25.5	119	119	578	233
1_58-178	1_58	1_58_2019	178	2019	17	25.5	132	90	928	204
1_58-179	1_58	1_58_2019	179	2019	18	25.5	94	78	287	171
1_58-180	1_58	1_58_2019	180	2019	19				347	61
1_58-181	1_58	1_58_2019	181	2019	20				81	67
1_58-182	1_58	1_58_2019	182	2019	21				66	29
1_58-183	1_58	1_58_2019	183	2019	22				36	7
1_58-184	1_58	1_58_2019	184	2019	23					6
1_65-161	1_65	1_65_2019	161	2019	1	136.5	107		465	
1_65-162	1_65	1_65_2019	162	2019	2	136.5	118		382	
1_65-163	1_65	1_65_2019	163	2019	3	136.5	142		770	
1_65-164	1_65	1_65_2019	164	2019	4	55.5	40		116	
1_81-156	1_81	1_81_2019	156	2019	1	136.5	127	56	1055	374
1_81-157	1_81	1_81_2019	157	2019	2	136.5	120	67	389	313
1_81-158	1_81	1_81_2019	158	2019	3	136.5	147	90	1016	490
1_81-159	1_81	1_81_2019	159	2019	4	55.5	235	128	2037	439
1_81-160	1_81	1_81_2019	160	2019	5	55.5	203	141	574	449
1_81-161	1_81	1_81_2019	161	2019	6	55.5	116	61	254	199
1_81-162	1_81	1_81_2019	162	2019	7	36.5	215	159	344	381
1_81-163	1_81	1_81_2019	163	2019	8	36.5	258	178	410	504
1_81-164	1_81	1_81_2019	164	2019	9	36.5	103	63	174	150
1_81-165	1_81	1_81_2019	165	2019	10	20	192	165	398	328
1_81-166	1_81	1_81_2019	166	2019	11	20	264	182	524	408
1_81-167	1_81	1_81_2019	167	2019	12	20	33	60	72	180
1_81-168	1_81	1_81_2019	168	2019	13	11	285	267	500	586
1_81-169	1_81	1_81_2019	169	2019	14	11	199	187	379	460
1_81-170	1_81	1_81_2019	170	2019	15	11	185	222	530	561
1_81-171	1_81	1_81_2019	171	2019	16	25.5	129	100	466	384
1_81-173	1_81	1_81_2019	173	2019	18	25.5	36	54	161	160
1_81-174	1_81	1_81_2019	174	2019	19				517	456
